enriched	depleted	gene_id	gene_short_name	uniprot_protein_name	coronalIshAvailable	coronalIshConsistent
ca1_d	ca1_v	ENSMUSG00000078453	3110003A17Rik	-	0	0
ca1_d	ca1_v	ENSMUSG00000022425	Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	1	1
ca1_d	ca1_v	ENSMUSG00000091367	Gm17711	-	0	0
ca1_d	ca1_v	ENSMUSG00000027827	Kcnab1	Voltage-gated potassium channel subunit beta-1	1	0
ca1_d	ca1_v	ENSMUSG00000059742	Kcnh7	Potassium voltage-gated channel subfamily H member 7	1	1
ca1_d	ca1_v	ENSMUSG00000036782	Klhl13	Kelch-like protein 13	0	0
ca1_d	ca1_v	ENSMUSG00000040624	Plekhg1	-	1	1
ca1_d	ca1_v	ENSMUSG00000090125	Pou3f1	"POU domain, class 3, transcription factor 1"	0	0
ca1_d	ca1_v	ENSMUSG00000049281	Scn3b	Sodium channel subunit beta-3	1	0
ca1_d	ca1_v	ENSMUSG00000039474	Wfs1	Wolframin	1	1
ca1_d	ca1_v	ENSMUSG00000039470	Zdhhc2	Palmitoyltransferase ZDHHC2	1	1
ca1_v	ca1_d	ENSMUSG00000045875	Adra1a	Alpha-1A adrenergic receptor	1	1
ca1_v	ca1_d	ENSMUSG00000005705	Agrp	Agouti-related protein	1	0
ca1_v	ca1_d	ENSMUSG00000019929	Dcn	Decorin	1	1
ca1_v	ca1_d	ENSMUSG00000031380	Figf	Vascular endothelial growth factor D	0	0
ca1_v	ca1_d	ENSMUSG00000091479	Gm17035	-	0	0
ca1_v	ca1_d	ENSMUSG00000039579	Grin3a	-	1	1
ca1_v	ca1_d	ENSMUSG00000039706	Ldb2	LIM domain-binding protein 2	1	1
ca1_v	ca1_d	ENSMUSG00000005125	Ndrg1	Protein NDRG1	0	0
ca1_v	ca1_d	ENSMUSG00000027977	Ndst3	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3; Sulfotransferase	1	0
ca1_v	ca1_d	ENSMUSG00000037362	Nov	Protein NOV homolog	1	1
ca1_v	ca1_d	ENSMUSG00000026249	Serpine2	Glia-derived nexin	1	1
ca1_v	ca1_d	ENSMUSG00000041272	Tox	Thymocyte selection-associated high mobility group box protein TOX	1	1
