"gene","GO"
"CNOT9","1. response to stimulus"
"CNP","1. response to stimulus"
"ERCC1","1. response to stimulus"
"ERCC2","1. response to stimulus"
"ERCC3","1. response to stimulus"
"ERCC4","1. response to stimulus"
"ERCC5","1. response to stimulus"
"J:219068 ","1. response to stimulus"
"ETS1","1. response to stimulus"
"ETV1","1. response to stimulus"
"ETV2","1. response to stimulus"
"ETV3","1. response to stimulus"
"ETV4","1. response to stimulus"
"ETV5","1. response to stimulus"
"EU599041","1. response to stimulus"
"EVC","1. response to stimulus"
"EVC2","1. response to stimulus"
"EVL","1. response to stimulus"
"EVPL","1. response to stimulus"
"EXD2","1. response to stimulus"
"EXO1","1. response to stimulus"
"EXO5","1. response to stimulus"
"EXOC1","1. response to stimulus"
"EXOC4","1. response to stimulus"
"EXOSC3","1. response to stimulus"
"EXOSC4","1. response to stimulus"
"EXOSC5","1. response to stimulus"
"EXOSC6","1. response to stimulus"
"EXT1","1. response to stimulus"
"EYA1","1. response to stimulus"
"EYA2","1. response to stimulus"
"EYA3","1. response to stimulus"
"EYA4","1. response to stimulus"
"EZH1","1. response to stimulus"
"EZH2","1. response to stimulus"
"EZR","1. response to stimulus"
"F2","1. response to stimulus"
"F2R","1. response to stimulus"
"F2RL1","1. response to stimulus"
"F2RL2","1. response to stimulus"
"F2RL3","1. response to stimulus"
"F3","1. response to stimulus"
"F5","1. response to stimulus"
"F7","1. response to stimulus"
"F8","1. response to stimulus"
"F9","1. response to stimulus"
"F10","1. response to stimulus"
"F11","1. response to stimulus"
"F11R","1. response to stimulus"
"F12","1. response to stimulus"
"F13A1","1. response to stimulus"
"F13B","1. response to stimulus"
"F630003A18RIK","1. response to stimulus"
"F830016B08RIK","1. response to stimulus"
"FAAP20","1. response to stimulus"
"FAAP24","1. response to stimulus"
"FAAP100","1. response to stimulus"
"FABP1","1. response to stimulus"
"FABP4","1. response to stimulus"
"FABP5","1. response to stimulus"
"FABP7","1. response to stimulus"
"FADD","1. response to stimulus"
"FADS1","1. response to stimulus"
"FAF1","1. response to stimulus"
"FAF2","1. response to stimulus"
"FAIM","1. response to stimulus"
"FAIM2","1. response to stimulus"
"FAIML","1. response to stimulus"
"FAM3A","1. response to stimulus"
"FAM13B","1. response to stimulus"
"FAM20A","1. response to stimulus"
"FAM20C","1. response to stimulus"
"FAM49B","1. response to stimulus"
"FAM53B","1. response to stimulus"
"FAM72A","1. response to stimulus"
"FAM83A","1. response to stimulus"
"FAM83B","1. response to stimulus"
"FAM83D","1. response to stimulus"
"FAM83G","1. response to stimulus"
"FAM89B","1. response to stimulus"
"FAM92A","1. response to stimulus"
"FAM107A","1. response to stimulus"
"FAM110C","1. response to stimulus"
"FAM120B","1. response to stimulus"
"FAM129A","1. response to stimulus"
"FAM162A","1. response to stimulus"
"FAM168A","1. response to stimulus"
"FAM210B","1. response to stimulus"
"FAN1","1. response to stimulus"
"FANCA","1. response to stimulus"
"FANCB","1. response to stimulus"
"FANCC","1. response to stimulus"
"FANCD2","1. response to stimulus"
"FANCF","1. response to stimulus"
"FANCG","1. response to stimulus"
"FANCI","1. response to stimulus"
"FANCL","1. response to stimulus"
"FANCM","1. response to stimulus"
"FAP","1. response to stimulus"
"FARP1","1. response to stimulus"
"FARP2","1. response to stimulus"
"FAS","1. response to stimulus"
"FASL","1. response to stimulus"
"FASN","1. response to stimulus"
"FAT4","1. response to stimulus"
"FAU","1. response to stimulus"
"FBH1","1. response to stimulus"
"FBLN1","1. response to stimulus"
"FBLN5","1. response to stimulus"
"FBN1","1. response to stimulus"
"FBN2","1. response to stimulus"
"FBP1","1. response to stimulus"
"FBXL2","1. response to stimulus"
"FBXL3","1. response to stimulus"
"FBXL15","1. response to stimulus"
"FBXL17","1. response to stimulus"
"FBXL20","1. response to stimulus"
"FBXL21","1. response to stimulus"
"FBXO2","1. response to stimulus"
"FBXO4","1. response to stimulus"
"FBXO5","1. response to stimulus"
"FBXO6","1. response to stimulus"
"FBXO7","1. response to stimulus"
"FBXO8","1. response to stimulus"
"FBXO9","1. response to stimulus"
"FBXO17","1. response to stimulus"
"FBXO22","1. response to stimulus"
"FBXO27","1. response to stimulus"
"FBXO31","1. response to stimulus"
"FBXO32","1. response to stimulus"
"FBXO38","1. response to stimulus"
"FBXO44","1. response to stimulus"
"FBXO45","1. response to stimulus"
"FBXW4","1. response to stimulus"
"FBXW7","1. response to stimulus"
"FBXW11","1. response to stimulus"
"FCAMR","1. response to stimulus"
"FCER1A","1. response to stimulus"
"FCER1G","1. response to stimulus"
"FCER2A","1. response to stimulus"
"FCGR1","1. response to stimulus"
"FCGR2B","1. response to stimulus"
"FCGR3","1. response to stimulus"
"FCGR4","1. response to stimulus"
"FCGRT","1. response to stimulus"
"FCMR","1. response to stimulus"
"FCNA","1. response to stimulus"
"FCNB","1. response to stimulus"
"FCOR","1. response to stimulus"
"FCRL5","1. response to stimulus"
"FCRLB","1. response to stimulus"
"FDPS","1. response to stimulus"
"FDX1","1. response to stimulus"
"FECH","1. response to stimulus"
"FEM1A","1. response to stimulus"
"FEM1B","1. response to stimulus"
"FEN1","1. response to stimulus"
"FER","1. response to stimulus"
"FER1L6","1. response to stimulus"
"FERMT1","1. response to stimulus"
"FERMT2","1. response to stimulus"
"FERMT3","1. response to stimulus"
"FES","1. response to stimulus"
"FEZF1","1. response to stimulus"
"FEZF2","1. response to stimulus"
"FFAR1","1. response to stimulus"
"FFAR2","1. response to stimulus"
"FFAR3","1. response to stimulus"
"FFAR4","1. response to stimulus"
"FGA","1. response to stimulus"
"FGB","1. response to stimulus"
"FGD1","1. response to stimulus"
"FGD2","1. response to stimulus"
"FGD3","1. response to stimulus"
"FGD4","1. response to stimulus"
"FGD5","1. response to stimulus"
"FGD6","1. response to stimulus"
"FGF1","1. response to stimulus"
"FGF2","1. response to stimulus"
"FGF3","1. response to stimulus"
"FGF4","1. response to stimulus"
"FGF5","1. response to stimulus"
"FGF6","1. response to stimulus"
"FGF7","1. response to stimulus"
"FGF8","1. response to stimulus"
"FGF9","1. response to stimulus"
"FGF10","1. response to stimulus"
"FGF12","1. response to stimulus"
"FGF13","1. response to stimulus"
"FGF14","1. response to stimulus"
"FGF15","1. response to stimulus"
"FGF16","1. response to stimulus"
"FGF17","1. response to stimulus"
"FGF18","1. response to stimulus"
"FGF20","1. response to stimulus"
"FGF21","1. response to stimulus"
"FGF22","1. response to stimulus"
"FGF23","1. response to stimulus"
"FGFBP1","1. response to stimulus"
"FGFBP3","1. response to stimulus"
"FGFR1","1. response to stimulus"
"FGFR1OP2","1. response to stimulus"
"FGFR2","1. response to stimulus"
"FGFR3","1. response to stimulus"
"FGFR4","1. response to stimulus"
"FGFRL1","1. response to stimulus"
"FGG","1. response to stimulus"
"FGL1","1. response to stimulus"
"FGL2","1. response to stimulus"
"FGR","1. response to stimulus"
"FH1","1. response to stimulus"
"FHE","1. response to stimulus"
"FHIT","1. response to stimulus"
"FHL2","1. response to stimulus"
"FICD","1. response to stimulus"
"FIGN","1. response to stimulus"
"FIGNL1","1. response to stimulus"
"FIGNL2","1. response to stimulus"
"FIS1","1. response to stimulus"
"FKBP1A","1. response to stimulus"
"FKBP1B","1. response to stimulus"
"FKBP4","1. response to stimulus"
"FKBP5","1. response to stimulus"
"FKBP8","1. response to stimulus"
"FKTN","1. response to stimulus"
"FLCN","1. response to stimulus"
"FLICR","1. response to stimulus"
"FLNA","1. response to stimulus"
"FLNB","1. response to stimulus"
"FLOT1","1. response to stimulus"
"FLRT1","1. response to stimulus"
"FLRT2","1. response to stimulus"
"FLRT3","1. response to stimulus"
"FLT1","1. response to stimulus"
"FLT3","1. response to stimulus"
"FLT4","1. response to stimulus"
"FMN2","1. response to stimulus"
"FMO2","1. response to stimulus"
"FMR1","1. response to stimulus"
"FN1","1. response to stimulus"
"FNDC1","1. response to stimulus"
"FNDC4","1. response to stimulus"
"FNDC5","1. response to stimulus"
"FNIP1","1. response to stimulus"
"FNIP2","1. response to stimulus"
"FNTA","1. response to stimulus"
"FNTB","1. response to stimulus"
"FOLR1","1. response to stimulus"
"FOLR2","1. response to stimulus"
"FOS","1. response to stimulus"
"FOSB","1. response to stimulus"
"FOSL1","1. response to stimulus"
"FOSL2","1. response to stimulus"
"FOXA1","1. response to stimulus"
"FOXA2","1. response to stimulus"
"FOXA3","1. response to stimulus"
"FOXB1","1. response to stimulus"
"FOXC1","1. response to stimulus"
"FOXC2","1. response to stimulus"
"FOXD1","1. response to stimulus"
"FOXD3","1. response to stimulus"
"FOXF1","1. response to stimulus"
"FOXG1","1. response to stimulus"
"FOXH1","1. response to stimulus"
"FOXJ1","1. response to stimulus"
"FOXK1","1. response to stimulus"
"FOXK2","1. response to stimulus"
"FOXL1","1. response to stimulus"
"FOXM1","1. response to stimulus"
"FOXO1","1. response to stimulus"
"FOXO3","1. response to stimulus"
"FOXO4","1. response to stimulus"
"FOXO6","1. response to stimulus"
"FOXP1","1. response to stimulus"
"FOXP2","1. response to stimulus"
"FOXP3","1. response to stimulus"
"FOXRED2","1. response to stimulus"
"FPR1","1. response to stimulus"
"FPR2","1. response to stimulus"
"FPR3","1. response to stimulus"
"FPR-RS3","1. response to stimulus"
"FPR-RS4","1. response to stimulus"
"FPR-RS6","1. response to stimulus"
"FPR-RS7","1. response to stimulus"
"FRAT1","1. response to stimulus"
"FRAT2","1. response to stimulus"
"FRK","1. response to stimulus"
"FRMD7","1. response to stimulus"
"FRMPD1","1. response to stimulus"
"FRRS1L","1. response to stimulus"
"FRS2","1. response to stimulus"
"FRS3","1. response to stimulus"
"FRZB","1. response to stimulus"
"FSHB","1. response to stimulus"
"FSHR","1. response to stimulus"
"FST","1. response to stimulus"
"FSTL1","1. response to stimulus"
"FSTL3","1. response to stimulus"
"FSTL4","1. response to stimulus"
"FTO","1. response to stimulus"
"FUCA2","1. response to stimulus"
"FUNDC1","1. response to stimulus"
"FURIN","1. response to stimulus"
"FUS","1. response to stimulus"
"FUT7","1. response to stimulus"
"FUT8","1. response to stimulus"
"FUZ","1. response to stimulus"
"FV1","1. response to stimulus"
"FXN","1. response to stimulus"
"FXR1","1. response to stimulus"
"FXR2","1. response to stimulus"
"FYB","1. response to stimulus"
"FYB2","1. response to stimulus"
"FYN","1. response to stimulus"
"FZD1","1. response to stimulus"
"FZD2","1. response to stimulus"
"FZD3","1. response to stimulus"
"FZD4","1. response to stimulus"
"FZD5","1. response to stimulus"
"FZD6","1. response to stimulus"
"FZD7","1. response to stimulus"
"FZD8","1. response to stimulus"
"FZD9","1. response to stimulus"
"FZD10","1. response to stimulus"
"FZR1","1. response to stimulus"
"G0S2","1. response to stimulus"
"G2E3","1. response to stimulus"
"G3BP1","1. response to stimulus"
"G3BP2","1. response to stimulus"
"G6PDX","1. response to stimulus"
"GAB1","1. response to stimulus"
"GAB2","1. response to stimulus"
"GABARAP","1. response to stimulus"
"GABARAPL1","1. response to stimulus"
"GABARAPL2","1. response to stimulus"
"GABBR1","1. response to stimulus"
"GABBR2","1. response to stimulus"
"GABPA","1. response to stimulus"
"GABRA1","1. response to stimulus"
"GABRA2","1. response to stimulus"
"GABRA3","1. response to stimulus"
"GABRA4","1. response to stimulus"
"GABRA5","1. response to stimulus"
"GABRA6","1. response to stimulus"
"GABRB1","1. response to stimulus"
"GABRB2","1. response to stimulus"
"GABRB3","1. response to stimulus"
"GABRD","1. response to stimulus"
"GABRE","1. response to stimulus"
"GABRG1","1. response to stimulus"
"GABRG2","1. response to stimulus"
"GABRG3","1. response to stimulus"
"GABRP","1. response to stimulus"
"GABRQ","1. response to stimulus"
"GABRR1","1. response to stimulus"
"GABRR2","1. response to stimulus"
"GABRR3","1. response to stimulus"
"GADD45A","1. response to stimulus"
"GADD45B","1. response to stimulus"
"GADD45G","1. response to stimulus"
"GAL","1. response to stimulus"
"GALNT11","1. response to stimulus"
"GALP","1. response to stimulus"
"GALR1","1. response to stimulus"
"GALR2","1. response to stimulus"
"GALR3","1. response to stimulus"
"GAP43","1. response to stimulus"
"GAPDH","1. response to stimulus"
"GAPT","1. response to stimulus"
"GAPVD1","1. response to stimulus"
"GAREM1","1. response to stimulus"
"GARNL3","1. response to stimulus"
"GART","1. response to stimulus"
"GAS1","1. response to stimulus"
"GAS2","1. response to stimulus"
"GAS2L1","1. response to stimulus"
"GAS2L2","1. response to stimulus"
"GAS2L3","1. response to stimulus"
"GAS5","1. response to stimulus"
"GAS6","1. response to stimulus"
"GAS8","1. response to stimulus"
"GAST","1. response to stimulus"
"GATA1","1. response to stimulus"
"GATA2","1. response to stimulus"
"GATA3","1. response to stimulus"
"GATA4","1. response to stimulus"
"GATA5","1. response to stimulus"
"GATA6","1. response to stimulus"
"GATM","1. response to stimulus"
"GBA","1. response to stimulus"
"GBF1","1. response to stimulus"
"GBP2","1. response to stimulus"
"GBP2B","1. response to stimulus"
"GBP3","1. response to stimulus"
"GBP4","1. response to stimulus"
"GBP5","1. response to stimulus"
"GBP6","1. response to stimulus"
"GBP7","1. response to stimulus"
"GBP8","1. response to stimulus"
"GBP9","1. response to stimulus"
"GBP10","1. response to stimulus"
"GBX1","1. response to stimulus"
"GBX2","1. response to stimulus"
"GCG","1. response to stimulus"
"GCGR","1. response to stimulus"
"GCH1","1. response to stimulus"
"GCK","1. response to stimulus"
"GCKR","1. response to stimulus"
"GCLC","1. response to stimulus"
"GCLM","1. response to stimulus"
"GCM2","1. response to stimulus"
"GCN1","1. response to stimulus"
"GCNT2","1. response to stimulus"
"GCNT3","1. response to stimulus"
"GCOM1","1. response to stimulus"
"GCSAM","1. response to stimulus"
"GDAP1","1. response to stimulus"
"GDAP2","1. response to stimulus"
"GDAP5","1. response to stimulus"
"GDAP6","1. response to stimulus"
"GDAP7","1. response to stimulus"
"GDAP8","1. response to stimulus"
"GDAP9","1. response to stimulus"
"GDAP10","1. response to stimulus"
"GDE1","1. response to stimulus"
"GDF1","1. response to stimulus"
"GDF2","1. response to stimulus"
"GDF3","1. response to stimulus"
"GDF5","1. response to stimulus"
"GDF6","1. response to stimulus"
"GDF7","1. response to stimulus"
"GDF9","1. response to stimulus"
"GDF10","1. response to stimulus"
"GDF11","1. response to stimulus"
"GDF15","1. response to stimulus"
"GDI1","1. response to stimulus"
"GDI2","1. response to stimulus"
"GDNF","1. response to stimulus"
"GDPD5","1. response to stimulus"
"GEM","1. response to stimulus"
"GEN1","1. response to stimulus"
"GET1","1. response to stimulus"
"GET4","1. response to stimulus"
"GFAP","1. response to stimulus"
"GFER","1. response to stimulus"
"GFI1","1. response to stimulus"
"GFPT2","1. response to stimulus"
"GFRA1","1. response to stimulus"
"GFRA2","1. response to stimulus"
"GFRA3","1. response to stimulus"
"GFRA4","1. response to stimulus"
"GFRAL","1. response to stimulus"
"GFY","1. response to stimulus"
"GGCT","1. response to stimulus"
"GGH","1. response to stimulus"
"GGN","1. response to stimulus"
"GGNBP2","1. response to stimulus"
"GGT1","1. response to stimulus"
"GGT5","1. response to stimulus"
"GGT7","1. response to stimulus"
"GH","1. response to stimulus"
"GHR","1. response to stimulus"
"GHRH","1. response to stimulus"
"GHRHR","1. response to stimulus"
"GHRL","1. response to stimulus"
"GHSR","1. response to stimulus"
"GID8","1. response to stimulus"
"GIGYF1","1. response to stimulus"
"GIGYF2","1. response to stimulus"
"GINS2","1. response to stimulus"
"GINS4","1. response to stimulus"
"GIP","1. response to stimulus"
"GIPC1","1. response to stimulus"
"GIPR","1. response to stimulus"
"GIT1","1. response to stimulus"
"GIT2","1. response to stimulus"
"GJA1","1. response to stimulus"
"GJA3","1. response to stimulus"
"GJA10","1. response to stimulus"
"GJB4","1. response to stimulus"
"GJC2","1. response to stimulus"
"GJD3","1. response to stimulus"
"GJD4","1. response to stimulus"
"GK","1. response to stimulus"
"GKAP1","1. response to stimulus"
"GKN2","1. response to stimulus"
"GLDC","1. response to stimulus"
"GLG1","1. response to stimulus"
"GLI1","1. response to stimulus"
"GLI2","1. response to stimulus"
"GLI3","1. response to stimulus"
"GLIPR2","1. response to stimulus"
"GLIS2","1. response to stimulus"
"GLMN","1. response to stimulus"
"GLP1R","1. response to stimulus"
"GLP2R","1. response to stimulus"
"GLRA1","1. response to stimulus"
"GLRA2","1. response to stimulus"
"GLRA3","1. response to stimulus"
"GLRA4","1. response to stimulus"
"GLRB","1. response to stimulus"
"GLRX","1. response to stimulus"
"GLRX2","1. response to stimulus"
"GLRX3","1. response to stimulus"
"GLUD1","1. response to stimulus"
"GLUL","1. response to stimulus"
"GLYAT","1. response to stimulus"
"GLYCAM1","1. response to stimulus"
"GM266","1. response to stimulus"
"GM1987","1. response to stimulus"
"GM2564","1. response to stimulus"
"GM4450","1. response to stimulus"
"GM4565","1. response to stimulus"
"GM4841","1. response to stimulus"
"GM4922","1. response to stimulus"
"GM4951","1. response to stimulus"
"GM5127","1. response to stimulus"
"GM5136","1. response to stimulus"
"GM5157","1. response to stimulus"
"GM5431","1. response to stimulus"
"GM5741","1. response to stimulus"
"GM6176","1. response to stimulus"
"GM6882","1. response to stimulus"
"GM7030","1. response to stimulus"
"GM7168","1. response to stimulus"
"GM7356","1. response to stimulus"
"GM8884","1. response to stimulus"
"GM8909","1. response to stimulus"
"GM10002","1. response to stimulus"
"GM10639","1. response to stimulus"
"GM10662","1. response to stimulus"
"GM10668","1. response to stimulus"
"GM10708","1. response to stimulus"
"GM10768","1. response to stimulus"
"GM10791","1. response to stimulus"
"GM10796","1. response to stimulus"
"GM11127","1. response to stimulus"
"GM12185","1. response to stimulus"
"GM12250","1. response to stimulus"
"GM12606","1. response to stimulus"
"GM13271","1. response to stimulus"
"GM13272","1. response to stimulus"
"GM13275","1. response to stimulus"
"GM13276","1. response to stimulus"
"GM13277","1. response to stimulus"
"GM13283","1. response to stimulus"
"GM13723","1. response to stimulus"
"GM14137","1. response to stimulus"
"GM14151","1. response to stimulus"
"GM14335","1. response to stimulus"
"GM14496","1. response to stimulus"
"GM15645","1. response to stimulus"
"GM17472","1. response to stimulus"
"GM20431","1. response to stimulus"
"GM20503","1. response to stimulus"
"GM20521","1. response to stimulus"
"GM20594","1. response to stimulus"
"GM20730","1. response to stimulus"
"GM21970","1. response to stimulus"
"GM21973","1. response to stimulus"
"GM21974","1. response to stimulus"
"GM22053","1. response to stimulus"
"GM22435","1. response to stimulus"
"GM23054","1. response to stimulus"
"GM24769","1. response to stimulus"
"GM24787","1. response to stimulus"
"GM25038","1. response to stimulus"
"GM26315","1. response to stimulus"
"GM28043","1. response to stimulus"
"GM29094","1. response to stimulus"
"GM34220","1. response to stimulus"
"GM36028","1. response to stimulus"
"GM36723","1. response to stimulus"
"GM42641","1. response to stimulus"
"GM43218","1. response to stimulus"
"GM43302","1. response to stimulus"
"GM43720","1. response to stimulus"
"GM45717","1. response to stimulus"
"GM45837","1. response to stimulus"
"GMIP","1. response to stimulus"
"GNA11","1. response to stimulus"
"GNA12","1. response to stimulus"
"GNA13","1. response to stimulus"
"GNA14","1. response to stimulus"
"GNA15","1. response to stimulus"
"GNAI1","1. response to stimulus"
"GNAI2","1. response to stimulus"
"GNAI3","1. response to stimulus"
"GNAL","1. response to stimulus"
"GNAO1","1. response to stimulus"
"GNAQ","1. response to stimulus"
"GNAS","1. response to stimulus"
"GNAT1","1. response to stimulus"
"GNAT2","1. response to stimulus"
"GNAT3","1. response to stimulus"
"GNAZ","1. response to stimulus"
"GNB1","1. response to stimulus"
"GNB2","1. response to stimulus"
"GNB3","1. response to stimulus"
"GNB4","1. response to stimulus"
"GNB5","1. response to stimulus"
"GNG2","1. response to stimulus"
"GNG3","1. response to stimulus"
"GNG4","1. response to stimulus"
"GNG5","1. response to stimulus"
"GNG7","1. response to stimulus"
"GNG8","1. response to stimulus"
"GNG10","1. response to stimulus"
"GNG11","1. response to stimulus"
"GNG12","1. response to stimulus"
"GNG13","1. response to stimulus"
"GNGT1","1. response to stimulus"
"GNGT2","1. response to stimulus"
"GNL1","1. response to stimulus"
"GNPNAT1","1. response to stimulus"
"GNRH1","1. response to stimulus"
"GNRHR","1. response to stimulus"
"GOLPH3","1. response to stimulus"
"GORAB","1. response to stimulus"
"GORASP2","1. response to stimulus"
"GOT1","1. response to stimulus"
"GOT2","1. response to stimulus"
"GP1BA","1. response to stimulus"
"GP1BB","1. response to stimulus"
"GP2","1. response to stimulus"
"GP5","1. response to stimulus"
"GP6","1. response to stimulus"
"GP9","1. response to stimulus"
"GPAM","1. response to stimulus"
"GPAT3","1. response to stimulus"
"GPATCH3","1. response to stimulus"
"GPBAR1","1. response to stimulus"
"GPC1","1. response to stimulus"
"GPC2","1. response to stimulus"
"GPC3","1. response to stimulus"
"GPC4","1. response to stimulus"
"GPC5","1. response to stimulus"
"GPC6","1. response to stimulus"
"GPD1","1. response to stimulus"
"GPD1L","1. response to stimulus"
"GPER1","1. response to stimulus"
"GPHA2","1. response to stimulus"
"GPHB5","1. response to stimulus"
"GPHN","1. response to stimulus"
"GPI1","1. response to stimulus"
"GPIHBP1","1. response to stimulus"
"GPLD1","1. response to stimulus"
"GPM6A","1. response to stimulus"
"GPNMB","1. response to stimulus"
"GPR1","1. response to stimulus"
"GPR3","1. response to stimulus"
"GPR4","1. response to stimulus"
"GPR6","1. response to stimulus"
"GPR12","1. response to stimulus"
"GPR15","1. response to stimulus"
"GPR17","1. response to stimulus"
"GPR18","1. response to stimulus"
"GPR19","1. response to stimulus"
"GPR20","1. response to stimulus"
"GPR21","1. response to stimulus"
"GPR22","1. response to stimulus"
"GPR25","1. response to stimulus"
"GPR26","1. response to stimulus"
"GPR27","1. response to stimulus"
"GPR31B","1. response to stimulus"
"GPR33","1. response to stimulus"
"GPR34","1. response to stimulus"
"GPR35","1. response to stimulus"
"GPR37","1. response to stimulus"
"GPR37L1","1. response to stimulus"
"GPR39","1. response to stimulus"
"GPR45","1. response to stimulus"
"GPR50","1. response to stimulus"
"GPR52","1. response to stimulus"
"GPR55","1. response to stimulus"
"GPR61","1. response to stimulus"
"GPR62","1. response to stimulus"
"GPR63","1. response to stimulus"
"GPR65","1. response to stimulus"
"GPR68","1. response to stimulus"
"GPR75","1. response to stimulus"
"GPR82","1. response to stimulus"
"GPR83","1. response to stimulus"
"GPR84","1. response to stimulus"
"GPR85","1. response to stimulus"
"GPR87","1. response to stimulus"
"GPR88","1. response to stimulus"
"GPR101","1. response to stimulus"
"GPR119","1. response to stimulus"
"GPR132","1. response to stimulus"
"GPR135","1. response to stimulus"
"GPR139","1. response to stimulus"
"GPR141","1. response to stimulus"
"GPR142","1. response to stimulus"
"GPR143","1. response to stimulus"
"GPR149","1. response to stimulus"
"GPR150","1. response to stimulus"
"GPR151","1. response to stimulus"
"GPR152","1. response to stimulus"
"GPR153","1. response to stimulus"
"GPR156","1. response to stimulus"
"GPR157","1. response to stimulus"
"GPR158","1. response to stimulus"
"GPR160","1. response to stimulus"
"GPR161","1. response to stimulus"
"GPR162","1. response to stimulus"
"GPR171","1. response to stimulus"
"GPR173","1. response to stimulus"
"GPR174","1. response to stimulus"
"GPR176","1. response to stimulus"
"GPR180","1. response to stimulus"
"GPR182","1. response to stimulus"
"GPR183","1. response to stimulus"
"GPRASP1","1. response to stimulus"
"GPRC5A","1. response to stimulus"
"GPRC5B","1. response to stimulus"
"GPRC5C","1. response to stimulus"
"GPRC5D","1. response to stimulus"
"GPRC6A","1. response to stimulus"
"GPS2","1. response to stimulus"
"GPSM1","1. response to stimulus"
"GPSM2","1. response to stimulus"
"GPSM3","1. response to stimulus"
"GPX1","1. response to stimulus"
"GPX2","1. response to stimulus"
"GPX3","1. response to stimulus"
"GPX4","1. response to stimulus"
"GPX5","1. response to stimulus"
"GPX6","1. response to stimulus"
"GPX7","1. response to stimulus"
"GPX8","1. response to stimulus"
"GRAMD1A","1. response to stimulus"
"GRAMD1B","1. response to stimulus"
"GRAMD1C","1. response to stimulus"
"GRAMD4","1. response to stimulus"
"GRASP","1. response to stimulus"
"GRB2","1. response to stimulus"
"GRB7","1. response to stimulus"
"GRB10","1. response to stimulus"
"GRB14","1. response to stimulus"
"GREM1","1. response to stimulus"
"GREM2","1. response to stimulus"
"GRHL3","1. response to stimulus"
"GRIA1","1. response to stimulus"
"GRIA2","1. response to stimulus"
"GRID2","1. response to stimulus"
"GRID2IP","1. response to stimulus"
"GRIK1","1. response to stimulus"
"GRIK2","1. response to stimulus"
"GRIK3","1. response to stimulus"
"GRIK5","1. response to stimulus"
"GRIN1","1. response to stimulus"
"GRIN2A","1. response to stimulus"
"GRIN2B","1. response to stimulus"
"GRIN2C","1. response to stimulus"
"GRIN2D","1. response to stimulus"
"GRIN3A","1. response to stimulus"
"GRIN3B","1. response to stimulus"
"GRINA","1. response to stimulus"
"GRIP2","1. response to stimulus"
"GRK1","1. response to stimulus"
"GRK2","1. response to stimulus"
"GRK3","1. response to stimulus"
"GRK4","1. response to stimulus"
"GRK5","1. response to stimulus"
"GRK6","1. response to stimulus"
"GRM1","1. response to stimulus"
"GRM2","1. response to stimulus"
"GRM3","1. response to stimulus"
"GRM4","1. response to stimulus"
"GRM5","1. response to stimulus"
"GRM6","1. response to stimulus"
"GRM7","1. response to stimulus"
"GRM8","1. response to stimulus"
"GRN","1. response to stimulus"
"GRP","1. response to stimulus"
"GRPR","1. response to stimulus"
"GSC","1. response to stimulus"
"GSDMA","1. response to stimulus"
"GSDMA2","1. response to stimulus"
"GSDMA3","1. response to stimulus"
"GSDMC","1. response to stimulus"
"GSDMC2","1. response to stimulus"
"GSDMC3","1. response to stimulus"
"GSDMC4","1. response to stimulus"
"GSDMD","1. response to stimulus"
"GSDME","1. response to stimulus"
"GSG1L","1. response to stimulus"
"GSK3A","1. response to stimulus"
"GSK3B","1. response to stimulus"
"GSKIP","1. response to stimulus"
"GSN","1. response to stimulus"
"GSR","1. response to stimulus"
"GSS","1. response to stimulus"
"GSTA1","1. response to stimulus"
"GSTA2","1. response to stimulus"
"GSTA3","1. response to stimulus"
"GSTA4","1. response to stimulus"
"GSTM1","1. response to stimulus"
"GSTM2","1. response to stimulus"
"GSTM3","1. response to stimulus"
"GSTM4","1. response to stimulus"
"GSTM5","1. response to stimulus"
"GSTM7","1. response to stimulus"
"GSTO1","1. response to stimulus"
"GSTO2","1. response to stimulus"
"GSTP1","1. response to stimulus"
"GSTT2","1. response to stimulus"
"GSX2","1. response to stimulus"
"GTF2H1","1. response to stimulus"
"GTF2H2","1. response to stimulus"
"GTF2H3","1. response to stimulus"
"GTF2H4","1. response to stimulus"
"GTF2H5","1. response to stimulus"
"GTF2I","1. response to stimulus"
"GTF2IRD1","1. response to stimulus"
"GTF2IRD2","1. response to stimulus"
"GUCA1A","1. response to stimulus"
"GUCA1B","1. response to stimulus"
"GUCA2B","1. response to stimulus"
"GUCY1A1","1. response to stimulus"
"GUCY1A2","1. response to stimulus"
"GUCY1B1","1. response to stimulus"
"GUCY1B2","1. response to stimulus"
"GUCY2C","1. response to stimulus"
"GUCY2D","1. response to stimulus"
"GUCY2E","1. response to stimulus"
"GUCY2F","1. response to stimulus"
"GUCY2G","1. response to stimulus"
"GUK1","1. response to stimulus"
"GYPA","1. response to stimulus"
"GYS2","1. response to stimulus"
"GZMA","1. response to stimulus"
"GZMB","1. response to stimulus"
"GZMC","1. response to stimulus"
"GZMD","1. response to stimulus"
"GZME","1. response to stimulus"
"GZMF","1. response to stimulus"
"GZMG","1. response to stimulus"
"GZMM","1. response to stimulus"
"GZMN","1. response to stimulus"
"H2-AA","1. response to stimulus"
"H2-AB1","1. response to stimulus"
"H2-BL","1. response to stimulus"
"H2-D1","1. response to stimulus"
"H2-DMA","1. response to stimulus"
"H2-DMB1","1. response to stimulus"
"H2-EA","1. response to stimulus"
"H2-EB1","1. response to stimulus"
"H2-K1","1. response to stimulus"
"H2-L","1. response to stimulus"
